kdg,Pano-Tacanan
kdw,Guaicuruan
kdz,Austronesian
kea,Mayan
ked,Austronesian
kef,Afro-Asiatic
kei,Austronesian
kek,Mayan
kel,Austronesian
kem,Afro-Asiatic
ken,Central Sudanic
keo,Austronesian
ker,Afro-Asiatic
ket,Yeniseian
keu,Austronesian
kew,Trans-New Guinea
kfc,other
kfe,Niger-Congo
kfy,Altaic
kga,Niger-Congo
kgi,Niger-Congo
kgl,Trans-New Guinea
kgm,Niger-Congo
kgr,Niger-Congo
kgt,Eskimo-Aleut
kgu,Pama-Nyungan
kgy,Sino-Tibetan
kgz,Altaic
kha,Altaic
khd,Sino-Tibetan
khg,Sino-Tibetan
khi,Nakh-Daghestanian
khk,Altaic
khl,Altaic
khm,Austro-Asiatic
khn,Tai-Kadai
kho,Khoe-Kwadi
khr,Austro-Asiatic
khs,Austro-Asiatic
khu,Sino-Tibetan
khv,Nakh-Daghestanian
khw,Indo-European
kic,Algic
kie,Ramu-Lower Sepik
kij,Jarrakan
kik,Niger-Congo
kil,Niger-Congo
kim,Kolopom
kin,Niger-Congo
kio,Kiowa-Tanoan
kiq,Altaic
kir,Niger-Congo
kis,Niger-Congo
kit,Caddoan
kiu,Greater West Bomberai
kiw,Trans-New Guinea
kje,Tucanoan
kji,Indo-European
kjn,Pama-Nyungan
kjo,Austronesian
kjr,Afro-Asiatic
kkb,Niger-Congo
kkl,other
kkn,Indo-European
kko,Mande
kkp,Altaic
kkq,Cariban
kkr,Lakes Plain
kkt,Austronesian
kku,Austro-Asiatic
kkv,Austronesian
kkw,Karankawa
kky,Austronesian
kkz,Indo-European
kla,Niger-Congo
klb,Afro-Asiatic
klg,Sino-Tibetan
klh,Indo-European
kli,Austronesian
klk,Niger-Congo
kll,Trans-New Guinea
klm,Penutian
kln,Greater West Bomberai
klp,Kalapuyan
klq,Trans-New Guinea
klr,Indo-European
kls,Salishan
klt,Austronesian
klv,Austronesian
klw,Hokan
kly,Pama-Nyungan
klz,Niger-Congo
kma,Tupian
kmb,Trans-New Guinea
kmh,Sino-Tibetan
kmi,Niger-Congo
kmj,Eastern Sudanic
kmk,Altaic
kmn,Trans-New Guinea
kmo,Trans-New Guinea
kmp,Trans-New Guinea
kmr,Asmat-Kamrau Bay
kms,Uralic
kmt,Nimboran
kmu,Austro-Asiatic
kmw,Eastern Daly
kmz,Torricelli
kna,Tupian
knb,Yam
knc,Pama-Nyungan
knd,Dravidian
kng,Macro-Ge
kni,Niger-Congo
knk,Afro-Asiatic
knm,Kunama
knn,Sino-Tibetan
kno,Kapixana
knp,Yam
knq,other
knr,Saharan
knu,North Bougainville
knw,Penutian
knz,Sino-Tibetan
koa,Muskogean
kob,Trans-New Guinea
kod,Dravidian
koe,Eastern Sudanic
koh,Niger-Congo
koi,Trans-New Guinea
kok,Sino-Tibetan
kol,Dravidian
kom,Koman
kon,Niger-Congo
koo,Austronesian
kop,Uralic
kor,Korean
kos,Austronesian
kot,Dravidian
kou,Niger-Congo
kow,Niger-Congo
koy,Dravidian
kpa,Niger-Congo
kpe,Mande
kpm,Austronesian
kpn,Austronesian
kpo,Niger-Congo
kpw,Sino-Tibetan
kqq,Macro-Ge
kra,Austronesian
krb,Austronesian
krc,Altaic
krd,Indo-European
kre,Central Sudanic
krf,Trans-New Guinea
krg,Niger-Congo
krh,Macro-Ge
kri,Kariri
krj,Pama-Nyungan
krk,Hokan
krl,Uralic
krm,Altaic
krn,Khoe-Kwadi
kro,Kadu
krq,Chukotko-Kamchatkan
krr,Austronesian
krt,Nakh-Daghestanian
krw,Trans-New Guinea
kry,Chukotko-Kamchatkan
krz,Nakh-Daghestanian
ksa,Keresan
kse,Songhay
ksg,Sino-Tibetan
ksh,Hokan
ksi,Austro-Asiatic
ksl,other
ksm,Niger-Congo
ksn,Austro-Asiatic
ksp,Niger-Congo
ksr,Austronesian
kss,Niger-Congo
ksu,Indo-European
kta,Trans-New Guinea
ktb,other
ktc,Kadu
kte,Niger-Congo
kth,Na-Dene
kti,kts
ktk,Afro-Asiatic
ktl,Kordofanian
ktm,Penutian
ktn,Trans-New Guinea
kto,Na-Dene
ktp,Austronesian
ktt,Yeniseian
ktu,Austro-Asiatic
kty,Uralic
ktz,Indo-European
kua,Austronesian
kug,Sino-Tibetan
kui,Dravidian
kuk,Eastern Sudanic
kul,Afro-Asiatic
kum,Indo-European
kun,Chibchan
kuo,Kuot
kuq,Altaic
kur,Dravidian
kus,Kusunda
kut,Kutenai
kuu,Pama-Nyungan
kuv,Dravidian
kuy,Austronesian
kuz,Austronesian
kwa,Austronesian
kwb,Tor-Kwerba
kwe,Mayan
kwk,Wakashan
kwm,Afro-Asiatic
kwn,Niger-Congo
kwo,Sepik
kwr,Austronesian
kws,Uto-Aztecan
kwt,Kwomtari
kwy,Niger-Congo
kwz,Kwaza
kxo,Khoe-Kwadi
kya,Pama-Nyungan
kyg,Niger-Congo
kyk,Trans-New Guinea
kyl,Sino-Tibetan
kym,Altaic
kyn,Na-Dene
kyo,Niger-Congo
kyp,Macro-Ge
kyq,Wakashan
kyr,Pauwasi
kyt,Pama-Nyungan
kyz,Tupian
kzy,Uralic
laa,Laal
lab,Austronesian
lac,Mayan
lad,Sino-Tibetan
laf,Kordofanian
lag,Afro-Asiatic
lah,Sino-Tibetan
lai,Sino-Tibetan
lak,Nakh-Daghestanian
lal,Sino-Tibetan
lam,Afro-Asiatic
lan,Eastern Sudanic
lao,Tai-Kadai
lar,Darwin Region
lat,Indo-European
lau,Austronesian
lav,Solomons East Papuan
laz,Kartvelian
lbu,Niger-Congo
lch,Tai-Kadai
lcr,other
lda,Niger-Congo
ldn,Indo-European
ldo,Niger-Congo
ldu,Central Sudanic
leb,Niger-Congo
lec,Leko
leg,Niger-Congo
lel,Afro-Asiatic
len,Austronesian
lep,Sino-Tibetan
les,Central Sudanic
let,Austronesian
lew,Austronesian
lez,Nakh-Daghestanian
lga,Austronesian
lge,Indo-European
lgh,other
lgi,Niger-Congo
lgp,other
lgt,Central Sudanic
lgu,Austronesian
lha,Tai-Kadai
lho,Sino-Tibetan
